Ticket #,Pay Station,Stall #,License Plate,Purchased Date,Expiry Date,Payment Type,Trans Type,Coupon Code,Excess Payment,Change Issued,Refund Ticket,Total Collections,Revenue,Rate Name,Location Name
767355310,"=""Honkmobile""",,"=""306RPM""",04/01/2026 07:46:37 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767355430,"=""Honkmobile""",,"=""KD266E""",04/01/2026 07:46:55 PDT,04/01/2026 10:01:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767355480,"=""Honkmobile""",,"=""TC837K""",04/01/2026 07:46:56 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767355710,"=""Honkmobile""",,"=""CTB7436""",04/01/2026 07:47:02 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$10.00,$10.00,Third Party,Zone 8
767355640,"=""Honkmobile""",,"=""XK123T""",04/01/2026 07:47:04 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767357170,"=""Honkmobile""",,"=""KH592K""",04/01/2026 07:47:58 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 8
767357780,"=""Honkmobile""",,"=""CAXS72""",04/01/2026 07:48:33 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038615,"=""UNC Mackay""",,"=""PE344P""",04/01/2026 07:48:33 PDT,04/01/2026 09:48:33 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767357790,"=""Honkmobile""",,"=""NH579H""",04/01/2026 07:48:35 PDT,04/01/2026 10:48:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$6.00,$6.00,Third Party,Zone 1
767358180,"=""Honkmobile""",,"=""BDV7797""",04/01/2026 07:48:46 PDT,04/01/2026 11:48:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767358420,"=""Honkmobile""",,"=""SD161K""",04/01/2026 07:48:56 PDT,04/01/2026 11:48:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767358920,"=""Honkmobile""",,"=""XT629A""",04/01/2026 07:48:56 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$10.00,$10.00,Third Party,Zone 8
767358750,"=""Honkmobile""",,"=""XP639B""",04/01/2026 07:49:09 PDT,04/01/2026 10:04:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767358840,"=""Honkmobile""",,"=""JV813E""",04/01/2026 07:49:14 PDT,04/01/2026 10:04:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767359900,"=""Honkmobile""",,"=""558NXL""",04/01/2026 07:49:47 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767360160,"=""Honkmobile""",,"=""XE815R""",04/01/2026 07:49:59 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038616,"=""UNC Mackay""",,"=""XJ920M""",04/01/2026 07:50:06 PDT,04/01/2026 09:50:06 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767360610,"=""Honkmobile""",,"=""SB320B""",04/01/2026 07:50:13 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767360620,"=""Honkmobile""",,"=""WV074M""",04/01/2026 07:50:18 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767361030,"=""Honkmobile""",,"=""WS897H""",04/01/2026 07:50:41 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038617,"=""UNC Mackay""",,"=""RT580E""",04/01/2026 07:50:42 PDT,04/01/2026 23:59:17 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038618,"=""UNC Mackay""",,"=""VG160T""",04/01/2026 07:51:46 PDT,04/01/2026 10:51:46 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$6.00,$6.00,Third Party,Zone 1
767362770,"=""Honkmobile""",,"=""RW744E""",04/01/2026 07:51:56 PDT,04/01/2026 10:06:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767363140,"=""Honkmobile""",,"=""RW887R""",04/01/2026 07:52:08 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 1
767363170,"=""Honkmobile""",,"=""WB9310""",04/01/2026 07:52:13 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 9
767363290,"=""Honkmobile""",,"=""WL856B""",04/01/2026 07:52:18 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038619,"=""UNC Mackay""",,"=""928HSB""",04/01/2026 07:52:24 PDT,04/01/2026 23:59:18 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767363580,"=""Honkmobile""",,"=""PB581W""",04/01/2026 07:52:25 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767363870,"=""Honkmobile""",,"=""A844ND""",04/01/2026 07:52:46 PDT,04/01/2026 09:07:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$2.50,$2.50,Third Party,Zone 10
767364310,"=""Honkmobile""",,"=""NEECEE""",04/01/2026 07:53:06 PDT,04/01/2026 11:53:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767364390,"=""Honkmobile""",,"=""CGY1373""",04/01/2026 07:53:08 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038620,"=""UNC Mackay""",,"=""A655GB""",04/01/2026 07:53:23 PDT,04/01/2026 09:53:23 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767364860,"=""Honkmobile""",,"=""SM825H""",04/01/2026 07:53:24 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$10.00,$10.00,Third Party,Zone 8
767365010,"=""Honkmobile""",,"=""A170GA""",04/01/2026 07:53:35 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767365300,"=""Honkmobile""",,"=""CEEV011""",04/01/2026 07:53:46 PDT,04/01/2026 10:08:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767365430,"=""Honkmobile""",,"=""RA719P""",04/01/2026 07:53:54 PDT,04/01/2026 10:08:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
00038621,"=""UNC Mackay""",,"=""WE073W""",04/01/2026 07:54:01 PDT,04/01/2026 23:59:26 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767365970,"=""Honkmobile""",,"=""073MHW""",04/01/2026 07:54:15 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 6
767365960,"=""Honkmobile""",,"=""EF099W""",04/01/2026 07:54:16 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 6
767366990,"=""Honkmobile""",,"=""A646DR""",04/01/2026 07:54:23 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767366350,"=""Honkmobile""",,"=""XC744J""",04/01/2026 07:54:34 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038622,"=""UNC Mackay""",,"=""TF534P""",04/01/2026 07:54:58 PDT,04/01/2026 09:54:58 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
50410345,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 12
50410330,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 11
50410339,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 9
50410336,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 2
50410333,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 7
50410327,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 1
50410323,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 4
50410321,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 6
50410342,"=""OffStreet""",,"=""MH217C""",04/01/2026 07:55:00 PDT,04/01/2026 14:15:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 8
767367160,"=""Honkmobile""",,"=""A955BG""",04/01/2026 07:55:04 PDT,04/01/2026 11:55:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767367700,"=""Honkmobile""",,"=""CTT5900""",04/01/2026 07:55:25 PDT,04/01/2026 10:10:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 3
767367850,"=""Honkmobile""",,"=""TR772B""",04/01/2026 07:55:30 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767368180,"=""Honkmobile""",,"=""RP351W""",04/01/2026 07:55:42 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767368290,"=""Honkmobile""",,"=""WL505N""",04/01/2026 07:55:50 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038623,"=""UNC Mackay""",,"=""BBJ0426""",04/01/2026 07:55:57 PDT,04/01/2026 09:55:57 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
767368690,"=""Honkmobile""",,"=""CFF1795""",04/01/2026 07:56:09 PDT,04/01/2026 10:11:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767369910,"=""Honkmobile""",,"=""XN099L""",04/01/2026 07:56:52 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
